,Id,CodePostal,Latitude,Longitude,Coordonnées,lien
50,10468,74250,46.15190985,6.381272925543605,"46.15190985,6.381272925543605",https://si.eeudf.org/lieu/voir/10468
51,10476,33760,44.71884885,-0.22250025450416894,"44.71884885,-0.22250025450416894",https://si.eeudf.org/lieu/voir/10476
52,10485,30700,44.0162726,4.44690191634042,"44.0162726,4.44690191634042",https://si.eeudf.org/lieu/voir/10485
53,10488,33730,44.4286453,-0.3468962703117785,"44.4286453,-0.3468962703117785",https://si.eeudf.org/lieu/voir/10488
54,10492,30700,44.0162726,4.44690191634042,"44.0162726,4.44690191634042",https://si.eeudf.org/lieu/voir/10492
55,10493,01960,46.150067750000005,5.1716614405407855,"46.150067750000005,5.1716614405407855",https://si.eeudf.org/lieu/voir/10493
57,10497,65320,43.27589305,-0.11106359731182763,"43.27589305,-0.11106359731182763",https://si.eeudf.org/lieu/voir/10497
58,10513,29260,48.5541784,-4.317899992777607,"48.5541784,-4.317899992777607",https://si.eeudf.org/lieu/voir/10513
60,10556,31081,43.5919646,1.3751629,"43.5919646,1.3751629",https://si.eeudf.org/lieu/voir/10556
61,10593,62100,50.952366999999995,1.8704954890187007,"50.952366999999995,1.8704954890187007",https://si.eeudf.org/lieu/voir/10593
62,10596,56370,47.5217136,-2.746659459146339,"47.5217136,-2.746659459146339",https://si.eeudf.org/lieu/voir/10596
63,10602,17200,45.655354700000004,-1.0182563642975804,"45.655354700000004,-1.0182563642975804",https://si.eeudf.org/lieu/voir/10602
64,10243,36300,46.66347825,1.1591327028870466,"46.66347825,1.1591327028870466",https://si.eeudf.org/lieu/voir/10243
65,10252,95270,49.11469485,2.405012250937715,"49.11469485,2.405012250937715",https://si.eeudf.org/lieu/voir/10252
66,10253,17520,45.50686455,-0.3355920353451083,"45.50686455,-0.3355920353451083",https://si.eeudf.org/lieu/voir/10253
67,10254,14140,49.020275299999994,0.1894016783909605,"49.020275299999994,0.1894016783909605",https://si.eeudf.org/lieu/voir/10254
68,10256,33590,45.4358342,-1.040505246879624,"45.4358342,-1.040505246879624",https://si.eeudf.org/lieu/voir/10256
69,10259,01110,45.98593035,5.557233364139975,"45.98593035,5.557233364139975",https://si.eeudf.org/lieu/voir/10259
70,10261,89130,47.7361935,3.2632423382606603,"47.7361935,3.2632423382606603",https://si.eeudf.org/lieu/voir/10261
71,10281,27200,49.092086699999996,1.4889999228046187,"49.092086699999996,1.4889999228046187",https://si.eeudf.org/lieu/voir/10281
72,10284,18260,47.4338816,2.66348405836142,"47.4338816,2.66348405836142",https://si.eeudf.org/lieu/voir/10284
73,10287,31260,43.0694919,0.9499542734401614,"43.0694919,0.9499542734401614",https://si.eeudf.org/lieu/voir/10287
74,10313,89520,47.58402075,3.2482607621512662,"47.58402075,3.2482607621512662",https://si.eeudf.org/lieu/voir/10313
75,10317,13006,43.28901858356164,5.38115136369863,"43.28901858356164,5.38115136369863",https://si.eeudf.org/lieu/voir/10317
76,10318,24130,44.90619365,0.33897743349365417,"44.90619365,0.33897743349365417",https://si.eeudf.org/lieu/voir/10318
77,10335,14340,49.1746663,0.09741958675984186,"49.1746663,0.09741958675984186",https://si.eeudf.org/lieu/voir/10335
